"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.94601705829628,0.299128152447501,4.41049800194788,-10.64157,-8.91211,-7.729555,-3.984485,5.5393415,217,1.00532751788844,1,-10.23894,-7.729555,3.43019099999999,0.0355000000000008,0.0707849999999999,0.188735,0.55152,0.85752,0.211799966849792,263,345
"p_2.1.",-1.12211131678112,0.310714781572619,4.55659980947772,-5.2883285,-4.52682,-3.12221,1.1458125,10.4830275,214,1.00584135585552,1,-5.0646735,-3.12221,8.466662,0.01762,0.05443,0.25258,0.569814,0.805595,0.220007191844741,251,340
"p_3.1.",-1.82676552437299,0.302659388699806,4.14234933698535,-5.0263185,-4.3590525,-3.882735,-0.6246205,9.826311,188,1.00462224747244,1,-4.819147,-3.882735,7.2752205,0.01186,0.0189949999999999,0.08375,0.6547378,1.060545,0.214346620617453,266,310
"p_4.1.",-7.00405547453849,0.318904179960866,4.41566455821289,-11.489085,-9.84534,-8.77356,-5.3814025,5.110092,192,1.00466439945612,1,-11.05824,-8.77356,2.4179095,0.0264499999999996,0.0566850000000008,0.13338,0.66826,1.17613,0.225843252581262,266,314
"GSD_error_C1_blood.1.",2.52208098143982,0.0112041121182359,1.75776378136835,1.16561075,1.403945,1.802315,2.861095,8.03002975,24559,1.00004285842792,1,1.19762,1.802315,6.7364685,0.0012049999999999,0.00265000000000004,0.00708500000000001,0.020135,0.0471349999999999,0.00792259777329956,24846,27143
"GSD_error_C1_cell.1.",3.75171564210724,0.0157219620974063,2.35131025076629,1.1590515,1.8259375,2.98844,5.1706825,9.320795,22340,1.0000187280141,1,1.2197915,2.98844,8.6879125,0.00197500000000006,0.0103,0.02013,0.036705,0.0278499999999999,0.0111172507330159,21293,28112
"GSD_error_C1_lumen.1.",1.7891897015998,0.00837194032753871,1.26637838170661,1.10521,1.1706,1.31447,1.7497425,6.0645365,22865,1.00007435727651,1,1.110393,1.31447,4.379373,0.000219999999999998,0.00111500000000009,0.00237500000000002,0.00903500000000002,0.0937749999999999,0.00591993124176355,21847,24257
"GSD_error_C2_blood.1.",1.53332300118735,0.00979472369923935,0.958800332240669,1.10290075,1.1381475,1.216055,1.4485825,4.46907925,9554,1.00007848494613,1,1.1058315,1.216055,3.136507,0.000129999999999963,0.000584999999999947,0.00141500000000006,0.00514999999999999,0.128115,0.00718660882061629,18340,12505
"GSD_error_C2_cell.1.",3.83647864141982,0.0168906035256588,2.37335645851895,1.15910075,1.86594,3.1076,5.3581225,9.334361,19676,1.00013469400822,1,1.222225,3.1076,8.75189,0.00277000000000005,0.0139550000000001,0.019455,0.0355449999999999,0.0205399999999996,0.0119436366930961,18443,29925
"GSD_error_C2_lumen.1.",2.56510303493313,0.0127477856867166,1.8868390962663,1.1216445,1.32532,1.75141,3.0031675,8.3229495,21877,1.00024104914815,1,1.141626,1.75141,7.0878275,0.000724999999999976,0.00314000000000003,0.00905499999999992,0.0241500000000001,0.049525,0.00901416573197026,22125,27178
"LnPrior",-31.6651060136233,0.0379517367119239,1.45887451080785,-34.86809175,-32.57298,-31.53887,-30.6288825,-29.1515005,1471,1.00079025222345,1,-34.239773,-31.53887,-29.472656,0.101240000000001,0.0439949999999989,0.0315450000000013,0.0227700000000013,0.0163199999999986,0.0271599581922563,1623,2518
"LnData",-17.6799017891201,0.0245418328908029,3.23417189977832,-24.52260775,-19.767975,-17.505625,-15.3861425,-11.90450875,17301,1.00002983198051,1,-23.3041445,-17.505625,-12.666131,0.0800250000000009,0.0272449999999989,0.0287249999999997,0.0241350000000002,0.0347650000000002,0.0177264178455475,17960,20998
"LnPosterior",-49.3450077855893,0.0427172302167946,4.36344124460535,-58.60236775,-52.150115,-49.100905,-46.25078,-41.6114245,10353,1.00005783692719,1,-56.9367425,-49.100905,-42.6192125,0.11617,0.0530749999999998,0.0399400000000014,0.04101,0.0461750000000016,0.0303438962040827,10511,18175
